Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
1,Gonzaga,WCC,37-2,10.8,9.5,20.4,2017
2,Villanova,Big East,32-4,11.9,8.4,20.3,2017
3,North Carolina,ACC,33-7,11.3,8.2,19.4,2017
4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017
5,Florida,SEC,27-9,8.5,9.6,18.1,2017
6,Louisville,ACC,25-9,7.9,9.9,17.8,2017
7,Duke,ACC,28-9,11.8,5.9,17.7,2017
8,West Virginia,Big 12,28-9,8.2,9.4,17.6,2017
9,Kentucky,SEC,32-6,9.6,7.9,17.5,2017
10,Oregon,Pac-12,33-6,10.7,6.8,17.4,2017
11,Virginia,ACC,23-11,5.8,11.4,17.2,2017
12,UCLA,Pac-12,31-5,14.4,2.4,16.8,2017
13,Saint Mary's,WCC,29-5,10.9,5.7,16.6,2017
14,Purdue,Big Ten,27-8,8.9,7.2,16.1,2017
15,Wichita St.,MVC,31-5,7.2,8.5,15.7,2017
16,Michigan,Big Ten,26-12,11.6,3.9,15.6,2017
17,SMU,American,30-5,10.3,5.2,15.5,2017
18,Baylor,Big 12,27-8,7.9,7.1,15.1,2017
19,Wisconsin,Big Ten,27-10,6.7,8.3,15,2017
20,Cincinnati,American,30-6,7,7.8,14.8,2017
21,Iowa St.,Big 12,24-11,9.6,5.1,14.7,2017
22,Arizona,Pac-12,32-5,8.8,5.9,14.7,2017
23,Notre Dame,ACC,26-10,9.8,4.1,13.9,2017
24,Florida St.,ACC,26-9,7.6,6.3,13.9,2017
25,Butler,Big East,25-9,8.6,4.7,13.3,2017
26,Oklahoma St.,Big 12,20-13,11.1,1.3,12.4,2017
27,Creighton,Big East,25-10,8.1,3.9,12,2017
28,South Carolina,SEC,26-11,2,9.4,11.4,2017
29,Marquette,Big East,19-13,9.8,1,10.8,2017
30,Wake Forest,ACC,19-14,10.1,0.7,10.7,2017
31,Miami FL,ACC,21-12,4.5,6.2,10.7,2017
32,Indiana,Big Ten,18-16,7.5,3.2,10.6,2017
